country_code,country_name,region,income_level,capital,latitude,longitude
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Brazzaville,-4.2767,15.2662
COL,Colombia,Latin America & Caribbean ,Upper middle income,Bogota,4.60987,-74.082
COM,Comoros,Sub-Saharan Africa ,Lower middle income,Moroni,-11.6986,43.2418
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,Praia,14.9218,-23.5087
CRI,Costa Rica,Latin America & Caribbean ,High income,San Jose,9.63701,-84.0089
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Havana,23.1333,-82.3667
CUW,Curacao,Latin America & Caribbean ,High income,Willemstad,,
CYM,Cayman Islands,Latin America & Caribbean ,High income,George Town,19.3022,-81.3857
CYP,Cyprus,Europe & Central Asia,High income,Nicosia,35.1676,33.3736
CZE,Czechia,Europe & Central Asia,High income,Prague,50.0878,14.4205
DEU,Germany,Europe & Central Asia,High income,Berlin,52.5235,13.4115
