country_code,year,literacy_rate
GEO,2018,99.6500015258789
GEO,2017,99.3600006103516
GHA,2021,76.4899978637695
GHA,2017,64.4899978637695
GTM,2024,82.1100006103516
GTM,2023,83.0440590538501
GTM,2022,83.0299987792969
GTM,2018,80.8099975585938
GIN,2018,39.6199989318848
GNB,2022,63.9300003051758
GNB,2019,54.8800010681152
GUY,2020,85.6399993896484
HTI,2017,68.0100021362305
HND,2024,88.25
HND,2023,87.0899963378906
HND,2022,88.2764147235016
HND,2019,88.5100021362305
HND,2018,87.2099990844727
HND,2016,88.9899978637695
IND,2023,81.6999969482422
IND,2022,76.3199996948242
IND,2021,76.0715766188242
IND,2020,75.5437727049002
IND,2019,74.9084268267486
IND,2018,73.6975430256976
IDN,2020,96.0
IDN,2018,95.6600036621094
IDN,2016,95.379997253418
IRN,2023,88.9233339833467
IRN,2022,88.5939994931719
IRN,2021,88.4554880174224
IRN,2020,87.9027874156509
IRN,2019,87.3787031852537
IRN,2018,86.8687468655024
IRN,2017,85.9467259623201
IRN,2016,85.5400009155273
IRQ,2021,84.0588635813164
IRQ,2017,85.5999984741211
IRQ,2016,83.3000030517578
ITA,2019,99.3499984741211
JOR,2023,94.8499984741211
JOR,2018,95.4300003051758
KIR,2020,98.6322966077083
KIR,2018,97.9599990844727
KWT,2020,96.4599990844727
KWT,2018,96.0599975585938
KWT,2017,96.0400009155273
LAO,2023,75.6399993896484
LAO,2017,73.7200012207031
LBN,2019,92.0144800114203
LBN,2018,92.6699981689453
LSO,2024,90.4499969482422
LSO,2019,92.4974361965842
LSO,2018,86.2399978637695
LSO,2016,97.2699966430664
MAC,2016,96.5400009155273
MDG,2021,74.6900024414062
MDG,2018,76.6800003051758
MWI,2020,70.1500015258789
MWI,2018,76.7200012207031
MWI,2017,72.848752416256
MYS,2022,95.7699966430664
MYS,2019,94.9700012207031
MYS,2018,94.8499984741211
MYS,2017,95.0800018310547
MYS,2016,94.879997253418
MDV,2019,98.2099990844727
MDV,2017,94.5100021362305
MDV,2016,97.7300033569336
MLI,2018,35.4700012207031
MHL,2021,95.8342549583425
MHL,2019,98.1800003051758
MRT,2020,59.5299987792969
MUS,2023,94.3265215627
MUS,2021,93.0304719147886
MUS,2016,93.1600036621094
MEX,2024,95.7654716766416
MEX,2023,95.8346901734281
MEX,2022,95.8486603965766
MEX,2021,95.6890981310362
MEX,2020,95.25
MEX,2019,95.3889403219417
MEX,2018,95.379997253418
MEX,2017,94.9700012207031
MEX,2016,94.8600006103516
MNG,2023,98.6399993896484
MNG,2022,98.7300033569336
MNG,2021,99.272758866107
MNG,2020,99.1800003051758
MNG,2019,98.4599990844727
MNG,2018,96.9000015258789
MNE,2018,98.5299987792969
MOZ,2022,61.6778205151772
MOZ,2020,59.7799987792969
MOZ,2017,60.6599998474121
MMR,2020,93.5471293315427
MMR,2019,89.0699996948242
MMR,2018,95.823239379743
MMR,2016,84.7799987792969
NAM,2023,87.6399993896484
NAM,2018,88.3295050309237
NAM,2016,88.2018591728156
NRU,2023,96.5899963378906
NRU,2021,94.6079860099096
NPL,2019,68.7099990844727
NPL,2017,66.8755351165163
NPL,2016,65.5
