country_code,year,gni_per_capita
TCD,2024,940.0
TCD,2023,960.0
TCD,2022,950.0
TCD,2021,890.0
TCD,2020,890.0
TCD,2019,920.0
TCD,2018,890.0
TCD,2017,830.0
TCD,2016,940.0
TCD,2015,1130.0
CHL,2024,15750.0
CHL,2023,15950.0
CHL,2022,15440.0
CHL,2021,14790.0
CHL,2020,12960.0
CHL,2019,14690.0
CHL,2018,14460.0
CHL,2017,13200.0
CHL,2016,13310.0
CHL,2015,14080.0
CHN,2024,13660.0
CHN,2023,13750.0
CHN,2022,13170.0
CHN,2021,12220.0
CHN,2020,10740.0
CHN,2019,10510.0
CHN,2018,9720.0
CHN,2017,8830.0
CHN,2016,8360.0
CHN,2015,8040.0
COL,2024,7040.0
COL,2023,6720.0
COL,2022,6560.0
COL,2021,6310.0
COL,2020,5850.0
COL,2019,6630.0
COL,2018,6350.0
COL,2017,6030.0
COL,2016,6560.0
COL,2015,7420.0
COM,2024,1590.0
COM,2023,1580.0
COM,2022,1590.0
COM,2021,1570.0
COM,2020,1520.0
COM,2019,1530.0
COM,2018,1490.0
COM,2017,1380.0
COM,2016,1410.0
COM,2015,1480.0
COD,2024,670.0
COD,2023,680.0
COD,2022,610.0
COD,2021,530.0
COD,2020,480.0
COD,2019,460.0
COD,2018,460.0
COD,2017,440.0
COD,2016,460.0
COD,2015,460.0
COG,2024,2280.0
COG,2023,2310.0
COG,2022,2170.0
COG,2021,2040.0
COG,2020,2230.0
COG,2019,2180.0
COG,2018,2070.0
COG,2017,1740.0
COG,2016,2260.0
COG,2015,3080.0
CRI,2024,15620.0
CRI,2023,14260.0
CRI,2022,13210.0
CRI,2021,12630.0
CRI,2020,11700.0
CRI,2019,12240.0
CRI,2018,12070.0
CRI,2017,11580.0
CRI,2016,11170.0
CRI,2015,10770.0
CIV,2024,2530.0
CIV,2023,2510.0
CIV,2022,2440.0
CIV,2021,2300.0
CIV,2020,2120.0
CIV,2019,2120.0
CIV,2018,2010.0
CIV,2017,1870.0
CIV,2016,1880.0
CIV,2015,1880.0
HRV,2024,22250.0
HRV,2023,20750.0
HRV,2022,19370.0
HRV,2021,17420.0
HRV,2020,15130.0
HRV,2019,15800.0
HRV,2018,14670.0
HRV,2017,13350.0
HRV,2016,13080.0
HRV,2015,13580.0
CUB,2019,9010.0
CUB,2018,8710.0
CUB,2017,8010.0
CUB,2016,7530.0
CUB,2015,7270.0
CUW,2024,22590.0
CUW,2023,21450.0
CUW,2022,20480.0
CUW,2021,17950.0
CUW,2020,16190.0
CUW,2019,19140.0
CUW,2018,18820.0
CUW,2017,18230.0
CUW,2016,18260.0
CUW,2015,18780.0
