country_code,year,gdp_per_capita
RWA,2019,810.051412137354
WSM,2019,4351.94234943706
SMR,2019,46630.1443120725
STP,2019,1935.2931816596
SAU,2019,29566.7933827436
SEN,2019,1431.18128932159
SRB,2019,7755.632986437
SYC,2019,19141.5118743615
SLE,2019,843.712517809977
SGP,2019,65952.0378959293
SXM,2019,34861.469528968
SVK,2019,19406.0589683582
SVN,2019,25814.1687167572
SLB,2019,2223.65890942466
SOM,2019,539.954816211694
ZAF,2019,6533.71121032856
ESP,2019,29786.5245689007
LKA,2019,4081.94772722003
KNA,2019,23595.4923231291
LCA,2019,11794.0597229805
MAF,2019,19033.0649634889
VCT,2019,8740.59425232061
SDN,2019,709.975280761719
SUR,2019,6629.66775248603
SWE,2019,51648.9892820514
CHE,2019,84121.9310304414
SYR,2019,1109.53926036049
TJK,2019,871.022372934846
TZA,2019,1063.32250976563
THA,2019,7605.69657797759
TLS,2019,1562.36458068032
TGO,2019,826.255209019798
TON,2019,4788.83342304684
TTO,2019,17212.6128892163
TUN,2019,3528.87213306798
TUR,2019,9395.23378001368
TKM,2019,5998.0017434754
TCA,2019,31780.5217068989
TUV,2019,5115.13075950206
UGA,2019,822.171150036357
UKR,2019,3619.86157226563
ARE,2019,45938.6073581994
GBR,2019,43158.7411267323
USA,2019,64746.4506778863
URY,2019,18315.7316980028
UZB,2019,2041.38480729431
VUT,2019,3207.44650452083
VEN,2019,2523.11275230667
VNM,2019,3440.90025375434
VIR,2019,38633.5298915336
PSE,2019,3656.85827137011
ZMB,2019,1258.98619844462
ZWE,2019,2184.32923855469
AFE,2020,1351.59166910879
AFW,2020,2030.86165860293
ARB,2020,5739.41283580539
CSS,2020,11957.223222537
CEB,2020,16581.3526115028
EAR,2020,3187.03781234801
EAS,2020,11639.4853357389
EAP,2020,8391.27634645493
TEA,2020,8485.32855185979
EMU,2020,38236.5543048506
ECS,2020,24167.3551199699
ECA,2020,5776.19343817718
TEC,2020,8478.35038656806
EUU,2020,34694.7035869194
FCS,2020,1618.4798041022
HPC,2020,962.590226473892
IBD,2020,6191.51088391849
IBT,2020,4923.57218418891
IDB,2020,2008.89632662853
IDX,2020,1170.98051516892
IDA,2020,1464.52261402905
LTE,2020,9873.93519864422
LCN,2020,7168.64740599577
LAC,2020,6904.27677369596
TLA,2020,6964.3711102796
LDC,2020,1088.72161311357
LMY,2020,4732.82727829687
MEA,2020,4742.76402632259
MNA,2020,2408.49731335268
TMN,2020,2402.73480964451
MIC,2020,5134.62007912707
NAC,2020,61468.3372208474
OED,2020,38597.246423496
OSS,2020,11770.4564127379
PSS,2020,3592.04110507296
PST,2020,44743.7389324311
PRE,2020,1496.33767488397
SST,2020,10723.093901861
SAS,2020,1957.20343722686
TSA,2020,1957.20343722686
SSF,2020,1627.34569596297
SSA,2020,1716.50863861427
TSS,2020,1627.34569596297
WLD,2020,10937.6846205191
AFG,2020,510.787063366811
ALB,2020,6027.91350716348
DZA,2020,3743.5419522929
ASM,2020,14489.2586563775
AND,2020,37361.1070081615
AGO,2020,1759.35619918264
ATG,2020,15369.6082250401
ARG,2020,8535.59938004389
ARM,2020,4268.68093304583
ABW,2020,22759.8071750722
AUS,2020,51983.4523666382
AUT,2020,48716.4098900349
AZE,2020,4229.91064904503
BHS,2020,26178.7537607708
BHR,2020,24342.8444554718
BGD,2020,2248.85078828233
BRB,2020,19194.4919736739
BLR,2020,6542.85579976768
BEL,2020,45906.2875805246
BLZ,2020,5238.54078175696
BEN,2020,1200.19426557789
BMU,2020,106976.546239632
BTN,2020,3191.66906999331
BOL,2020,3580.96761778303
BIH,2020,6130.31187968266
BWA,2020,6323.2974967659
BRA,2020,7074.19407495707
BRN,2020,26834.3592233943
BGR,2020,10760.211975413
BFA,2020,825.237038782475
BDI,2020,255.8324539389
CPV,2020,3539.22661248299
KHM,2020,2081.73914242939
CMR,2020,1555.60370660749
CAN,2020,43537.839298904
CYM,2020,82338.7977439023
CAF,2020,462.879071294011
TCD,2020,866.947814890409
CHI,2020,56785.9402005039
CHL,2020,13114.815470545
CHN,2020,10627.4637989619
COL,2020,5339.68711357943
COM,2020,1519.34665556206
COD,2020,486.425572682256
COG,2020,1993.586671931
CRI,2020,12394.0493969492
CIV,2020,2179.72934832935
HRV,2020,14807.5608543265
CUB,2020,9605.27914559614
